acousticness,danceability,energy,instrumentalness,key,liveness,loudness,speechiness,tempo,time_signature,valence,mbti
0.832,0.686,0.435,0,6,0.0975,-9.37,0.0425,152.004,4,0.819,2
0.941,0.619,0.11,0,5,0.103,-17.7,0.0564,137.181,4,0.397,2
0.968,0.534,0.0889,0.0471,9,0.11,-17.076,0.0892,173.205,4,0.186,2
0.672,0.7,0.477,0,2,0.0599,-10.649,0.0409,118.224,4,0.554,2
0.7,0.883,0.45,0.0407,4,0.105,-10.32,0.0908,107.967,4,0.775,2
0.681,0.702,0.32,4.18e-05,9,0.0955,-15.8,0.0607,132.662,4,0.162,2
0.977,0.353,0.0743,0.000539,2,0.0969,-19.717,0.0452,172.507,3,0.155,2
0.667,0.321,0.426,0.0115,6,0.2,-8.85,0.0398,80.458,4,0.359,2
0.889,0.694,0.404,0.000133,9,0.099,-5.654,0.0393,98.429,4,0.504,2
0.917,0.601,0.301,0.000475,1,0.125,-14.2,0.0573,118.303,4,0.363,2
0.909,0.557,0.137,0.00262,0,0.112,-20.348,0.0419,94.711,4,0.549,2
0.805,0.588,0.215,0.00146,5,0.0962,-10.405,0.0961,73.23,4,0.771,2
0.89,0.705,0.23,3.38e-05,11,0.0897,-15.204,0.0376,141.207,4,0.434,2
0.812,0.661,0.345,9.33e-06,7,0.113,-13.49,0.0379,79.99,4,0.513,2
0.931,0.626,0.317,0.363,7,0.0937,-13.692,0.0414,97.281,4,0.568,2
0.787,0.648,0.203,0,10,0.0542,-14.192,0.047,95.123,4,0.504,2
0.865,0.473,0.116,5.54e-06,6,0.11,-14.788,0.0384,79.375,3,0.293,2
0.323,0.661,0.389,0.000147,2,0.0935,-11.833,0.0354,120.764,4,0.33,2
0.907,0.569,0.25,0,3,0.135,-11.435,0.031,120.203,4,0.444,2
0.806,0.814,0.386,0.775,2,0.0729,-17.111,0.068,90.002,4,0.907,2
0.874,0.427,0.243,2.71e-06,0,0.152,-11.022,0.03,84.134,3,0.386,2
0.841,0.666,0.185,0.000981,7,0.0981,-15.179,0.0373,133.985,4,0.491,2
0.906,0.644,0.314,0.000547,8,0.0873,-14.51,0.0556,147.709,4,0.613,2
0.796,0.522,0.374,0.000257,7,0.161,-9.395,0.0348,149.854,3,0.437,2
0.812,0.652,0.365,0,7,0.305,-12.338,0.245,98.361,4,0.723,2
0.982,0.452,0.182,0.000106,6,0.107,-9.993,0.0418,74.763,3,0.459,2
0.861,0.634,0.467,1.07e-06,9,0.0943,-11.263,0.223,89.84,4,0.826,2
0.701,0.849,0.454,0,7,0.0888,-9.128,0.0287,101.037,4,0.732,2
0.815,0.62,0.385,0,1,0.114,-10.372,0.053,155.977,4,0.642,2
0.466,0.667,0.23,0.000222,10,0.18,-14.122,0.0338,115.085,4,0.435,2
0.113,0.573,0.308,0.0246,4,0.118,-14.924,0.0432,159.935,4,0.255,2
0.926,0.563,0.194,0,1,0.216,-10.486,0.0344,88.05,4,0.376,2
0.141,0.542,0.405,0.31,9,0.123,-10.951,0.042,135.128,3,0.283,2
0.882,0.591,0.274,1.15e-05,0,0.0981,-11.901,0.0821,113.856,4,0.464,2
0.46,0.903,0.522,1.43e-06,7,0.105,-10.166,0.07,123.055,4,0.696,2
0.947,0.503,0.226,4.12e-06,0,0.144,-9.966,0.0362,86.349,4,0.287,2
0.382,0.604,0.441,4.93e-05,7,0.0979,-10.687,0.0462,136.305,4,0.576,2
0.886,0.591,0.111,0.464,1,0.0794,-21.601,0.0679,138.296,4,0.447,2
0.612,0.389,0.467,0,2,0.151,-14.261,0.279,78.283,4,0.918,2
0.466,0.444,0.371,0.379,5,0.102,-10.791,0.0484,138.605,4,0.432,2
0.928,0.821,0.042,0,7,0.375,-22.264,0.218,119.159,4,0.541,2
0.894,0.63,0.287,7.78e-06,2,0.136,-12.971,0.0679,133.348,4,0.158,2
0.802,0.861,0.502,0,0,0.107,-8.474,0.0517,126.077,4,0.691,2
0.761,0.642,0.321,0,7,0.081,-10.568,0.0277,138.153,4,0.575,2
0.829,0.706,0.272,0.0043,2,0.103,-11.909,0.104,112.25,4,0.266,2
0.984,0.403,0.151,6.83e-05,5,0.146,-16.975,0.04,109.544,4,0.451,2
0.949,0.506,0.0953,0,5,0.094,-17.104,0.06,85.243,4,0.278,2
0.238,0.633,0.429,2.38e-06,9,0.338,-14.344,0.0729,152.052,4,0.622,2
0.442,0.66,0.495,0.102,2,0.981,-11.603,0.061,116.159,4,0.396,2
0.759,0.6,0.246,0.0409,0,0.109,-12.386,0.05,122.821,1,0.456,2
0.883,0.543,0.0645,1.1e-05,6,0.116,-20.666,0.0645,82.838,4,0.233,2
0.778,0.612,0.286,0.018,7,0.161,-14.473,0.0359,130.245,3,0.566,2
0.781,0.593,0.336,7.62e-06,8,0.167,-11.498,0.0435,115.769,4,0.582,2
0.915,0.725,0.208,3.23e-05,7,0.0875,-13.116,0.041,133.814,4,0.447,2
0.849,0.699,0.451,7.36e-06,5,0.0955,-10.302,0.0638,156.15,4,0.565,2
0.844,0.411,0.174,0.0145,2,0.147,-12.212,0.0315,140.404,3,0.162,2
0.812,0.493,0.221,2.12e-06,8,0.147,-10.781,0.0422,170.147,4,0.77,2
0.839,0.799,0.306,0.0142,11,0.0746,-11.144,0.0378,112.115,4,0.276,2
0.955,0.462,0.318,8.41e-06,4,0.105,-7.664,0.0358,146.111,4,0.671,2
0.845,0.637,0.403,1.35e-06,7,0.251,-12.847,0.165,93.458,4,0.525,2
0.841,0.473,0.401,0,7,0.124,-11.098,0.0361,81.666,4,0.42,2
0.959,0.534,0.168,0.000115,3,0.111,-8.889,0.0363,89.067,3,0.161,2
0.961,0.603,0.0942,2.24e-05,0,0.108,-13.43,0.0399,119.802,3,0.229,2
0.908,0.571,0.15,0,10,0.11,-13.79,0.0444,80.396,4,0.155,2
0.899,0.573,0.239,0.00455,5,0.124,-12.473,0.0293,96.136,4,0.136,2
0.888,0.47,0.266,0.000132,0,0.0896,-14.361,0.0349,121.802,3,0.22,2
0.281,0.586,0.498,0.00162,11,0.0985,-10.378,0.0457,83.038,4,0.358,2
0.675,0.394,0.195,0.0214,0,0.154,-15.423,0.0391,108.797,4,0.249,2
0.725,0.605,0.39,0.00202,9,0.109,-10.673,0.028,95.957,3,0.229,2
0.836,0.509,0.33,0.000133,3,0.362,-9.866,0.0379,97.157,4,0.339,2
0.391,0.701,0.474,0.0276,9,0.17,-10.445,0.0306,110.13,4,0.367,2
0.0962,0.465,0.423,0.00653,5,0.518,-9.707,0.0371,101.574,4,0.309,2
0.472,0.664,0.462,0.00952,0,0.115,-13.958,0.0576,146.115,4,0.464,2
0.667,0.424,0.294,0,2,0.322,-12.336,0.0392,126.747,4,0.305,2
0.766,0.569,0.168,0.000199,0,0.0936,-15.482,0.0596,86.959,4,0.361,2
0.711,0.825,0.433,0.00226,9,0.122,-9.778,0.285,105.247,4,0.855,2
0.123,0.76,0.702,1.38e-06,0,0.0807,-12.382,0.0362,118.783,4,0.885,2
0.915,0.608,0.171,0.188,7,0.111,-16.822,0.0314,142.827,4,0.3,2
0.638,0.842,0.384,0.000487,9,0.0998,-11.384,0.0353,84.026,4,0.604,2
0.44,0.598,0.735,0.000215,2,0.681,-10.882,0.0973,111.129,3,0.615,2
0.0934,0.692,0.493,0.00166,9,0.128,-9.662,0.0325,86.644,4,0.28,2
0.434,0.711,0.483,0.012,11,0.0284,-11.211,0.0298,91.652,4,0.884,2
0.844,0.661,0.342,0.000128,9,0.26,-16.361,0.043,146.118,4,0.588,2
0.889,0.629,0.275,0.00747,4,0.107,-17.572,0.0606,81.98,4,0.666,2
0.0764,0.673,0.481,4e-05,9,0.127,-9.88,0.0488,117.087,4,0.767,2
0.0339,0.565,0.526,0.000119,0,0.11,-11.352,0.0365,167.936,4,0.637,2
